movieId,actorId
tt0369610,96
tt0369610,78
tt0369610,484
tt3774694,44
tt3774694,267
tt3774694,281
tt2361509,407
tt2361509,35
tt2361509,401
tt2381249,474
tt2381249,397
tt2381249,232
tt3460252,431
tt3460252,283
tt3460252,229
tt1392190,476
tt1392190,89
tt1392190,370
tt3397884,140
tt3397884,257
tt3397884,62
tt1596363,98
tt1596363,456
tt1596363,419
tt3659388,335
tt3659388,236
tt3659388,282
tt1663202,291
tt1663202,476
tt1663202,497
tt2140379,420
tt2140379,367
tt2140379,338
tt2494362,283
tt2494362,382
tt2494362,337
tt4263482,43
tt4263482,395
tt4263482,268
tt2395427,408
tt2395427,93
tt2395427,327
tt3569230,476
tt3569230,141
tt3569230,465
tt1895587,327
tt1895587,349
tt1895587,390
tt1638355,192
tt1638355,48
tt1638355,19
tt2488496,113
tt2488496,246
tt2488496,379
tt3464902,104
tt3464902,391
tt3464902,235
tt3076658,347
tt3076658,460
tt3076658,467
tt2096673,25
tt2096673,64
tt2096673,295
tt2379713,117
tt2379713,100
tt2379713,311
tt0478970,384
tt0478970,348
tt0478970,108
tt1951266,230
tt1951266,259
tt1951266,296
tt1661199,299
tt1661199,85
tt1661199,404
tt2140479,56
tt2140479,34
tt2140479,203
tt3748528,149
tt3748528,129
tt3748528,12
tt2543164,24
tt2543164,232
tt2543164,155
tt4016934,277
tt4016934,182
tt4016934,91
tt2119532,30
tt2119532,429
tt2119532,308
tt3783958,419
tt3783958,142
tt3783958,417
tt2948356,170
tt2948356,217
tt2948356,200
tt3799694,418
tt3799694,419
tt3799694,33
tt2674426,138
tt2674426,426
tt2674426,216
tt4972582,212
tt4972582,43
tt4972582,184
tt5700672,173
tt5700672,263
tt5700672,312
tt4846340,464
tt4846340,374
tt4846340,215
tt1431045,420
tt1431045,365
tt1431045,461
tt5311514,423
tt5311514,364
tt5311514,422
tt4975722,319
tt4975722,366
tt4975722,482
tt4034228,84
tt4034228,355
tt4034228,284
tt2404435,128
tt2404435,96
tt2404435,145
tt2975590,56
tt2975590,192
tt2975590,24
tt3470600,339
tt3470600,398
tt3470600,444
tt2582782,95
tt2582782,57
tt2582782,223
tt3521164,50
tt3521164,131
tt3521164,389
tt3110958,233
tt3110958,327
tt3110958,502
tt3498820,93
tt3498820,408
tt3498820,438
tt0490215,30
tt0490215,4
tt0490215,297
tt4257926,228
tt4257926,286
tt4257926,331
tt1856101,189
tt1856101,419
tt1856101,26
tt5052448,119
tt5052448,21
tt5052448,73
tt1396484,65
tt1396484,207
tt1396484,152
tt1959563,420
tt1959563,431
tt1959563,162
tt4425200,271
tt4425200,403
tt4425200,198
tt3829920,257
tt3829920,359
tt3829920,223
tt5013056,153
tt5013056,55
tt5013056,328
tt5726616,470
tt5726616,48
tt5726616,352
tt2283362,131
tt2283362,266
tt2283362,274
tt1485796,197
tt1485796,355
tt1485796,507
tt1790809,253
tt1790809,165
tt1790809,220
tt3532216,474
tt3532216,130
tt3532216,436
tt5362988,136
tt5362988,232
tt5362988,176
tt3501632,94
tt3501632,477
tt3501632,85
tt5027774,156
tt5027774,502
tt5027774,428
tt3890160,37
tt3890160,255
tt3890160,256
tt2380307,38
tt2380307,160
tt2380307,63
tt5580390,424
tt5580390,374
tt5580390,351
tt3315342,197
tt3315342,381
tt3315342,111
tt2250912,478
tt2250912,349
tt2250912,408
tt5638642,393
tt5638642,49
tt5638642,409
tt5776858,488
tt5776858,118
tt5776858,292
tt4481414,93
tt4481414,342
tt4481414,304
tt0974015,56
tt0974015,161
tt0974015,218
tt2527336,113
tt2527336,246
tt2527336,325
tt4881806,96
tt4881806,78
tt4881806,393
tt4912910,474
tt4912910,192
tt4912910,492
tt6966692,489
tt6966692,319
tt6966692,302
tt7784604,479
tt7784604,362
tt7784604,159
tt4154756,408
tt4154756,94
tt4154756,327
tt1825683,87
tt1825683,347
tt1825683,309
tt4633694,445
tt4633694,209
tt4633694,183
tt6499752,305
tt6499752,344
tt6499752,457
tt1259528,169
tt1259528,380
tt1259528,373
tt2798920,368
tt2798920,229
tt2798920,467
tt7040874,34
tt7040874,66
tt7040874,193
tt6644200,140
tt6644200,249
tt6644200,360
tt1677720,485
tt1677720,377
tt1677720,59
tt2704998,217
tt2704998,390
tt2704998,284
tt1517451,287
tt1517451,72
tt1517451,427
tt7401588,329
tt7401588,416
tt7401588,201
tt1226837,456
tt1226837,341
tt1226837,204
tt1270797,476
tt1270797,355
tt1270797,406
tt8267604,508
tt8267604,503
tt8267604,70
tt5083738,376
tt5083738,142
tt5083738,391
tt1727824,396
tt1727824,306
tt1727824,181
tt5463162,420
tt5463162,257
tt5463162,365
tt2873282,230
tt2873282,243
tt2873282,340
tt3104988,106
tt3104988,193
tt3104988,356
tt3778644,14
tt3778644,502
tt3778644,138
tt6751668,449
tt6751668,290
tt6751668,92
tt7131622,291
tt7131622,71
tt7131622,322
tt1950186,335
tt1950186,98
tt1950186,255
tt4154796,408
tt4154796,93
tt4154796,327
tt8946378,117
tt8946378,93
tt8946378,26
tt8772262,154
tt8772262,205
tt8772262,491
tt8367814,339
