userId,reviewId,reviewDate
771,1205,9/26/24
797,4182,8/14/24
680,4770,2/11/25
1531,811,12/17/24
587,5067,4/5/25
1450,3562,12/27/24
738,2404,6/28/25
1758,2670,11/30/24
606,679,9/21/24
1746,6133,6/4/25
1960,4676,5/30/25
1762,2326,7/17/25
1367,1150,10/24/24
938,1476,7/21/25
1656,980,3/24/25
352,626,11/19/24
421,2749,2/18/25
516,2224,6/7/25
240,5166,4/17/25
653,5876,7/15/25
1494,2849,8/8/25
194,5568,7/5/25
498,4824,12/27/24
353,6189,10/8/24
1696,827,6/15/25
1630,2868,9/2/24
1261,3170,10/2/24
725,3513,5/6/25
1841,6175,12/23/24
358,5691,1/6/25
887,796,10/28/24
1648,102,5/14/25
1541,659,6/22/25
701,4461,7/16/25
115,3744,6/6/25
1429,3949,4/7/25
173,5490,7/15/25
954,2304,1/13/25
226,2139,1/12/25
158,5492,6/17/25
1815,5386,8/17/24
490,1380,12/21/24
681,4580,3/11/25
1290,4867,11/7/24
701,5287,7/9/25
618,5273,2/4/25
1044,1492,10/3/24
1907,3551,7/18/25
1709,3524,2/24/25
1304,4177,11/16/24
1268,871,10/29/24
1199,2768,1/29/25
369,4215,8/7/25
1107,3337,7/21/25
280,5497,3/3/25
1885,828,3/17/25
21,3360,4/15/25
111,1314,9/6/24
1668,1694,9/26/24
1541,2088,5/12/25
1502,70,7/18/25
859,5020,10/17/24
1700,780,2/7/25
1758,3574,1/31/25
636,5660,6/25/25
1209,1884,7/13/25
1853,5489,2/4/25
1791,4345,8/23/24
1789,5053,5/7/25
1663,3743,1/19/25
61,4022,5/14/25
955,1357,1/25/25
1793,1578,4/10/25
1008,6190,1/16/25
1057,4093,11/23/24
52,1022,2/8/25
122,666,8/10/24
1522,1186,4/13/25
1873,2941,12/10/24
1076,3547,9/19/24
841,4158,1/29/25
451,1138,9/30/24
1667,5356,6/25/25
382,2120,5/1/25
1623,4194,3/27/25
35,4588,9/30/24
906,3755,2/5/25
1291,6007,9/20/24
402,3145,10/3/24
399,4457,2/26/25
1622,2184,10/11/24
375,1990,8/12/24
1585,4014,11/6/24
1861,4909,11/16/24
426,2902,1/22/25
133,4217,1/28/25
1149,1910,7/4/25
1813,3594,5/29/25
1203,539,5/22/25
1708,2663,1/18/25
1518,3359,7/19/25
32,542,1/20/25
817,837,9/6/24
156,388,3/26/25
665,5807,8/13/24
137,4175,4/28/25
1178,4989,12/31/24
26,1664,2/4/25
515,3701,5/2/25
737,1497,6/21/25
356,4645,4/29/25
465,3540,6/29/25
1246,870,3/12/25
582,2519,12/30/24
693,2006,3/1/25
1924,3048,9/21/24
1898,3004,7/7/25
1371,2312,9/20/24
1674,5880,8/12/24
129,784,11/20/24
561,1967,2/20/25
1369,5505,10/12/24
332,2066,9/21/24
1790,1945,1/16/25
1550,3157,9/13/24
45,3663,12/25/24
328,435,4/26/25
1250,276,8/9/25
966,2698,3/7/25
1835,5794,9/5/24
1960,3795,9/21/24
630,3045,8/19/24
226,4296,2/1/25
1073,679,12/6/24
859,6146,11/15/24
563,5784,9/1/24
185,456,11/22/24
