actorId,name
1,Aaron Taylor-Johnson
2,Abigail Breslin
3,Adam Brody
4,Adam Driver
5,Adam Sandler
6,Adria Arjona
7,Adrien Brody
8,Adèle Haenel
9,Akari Kitô
10,Al Pacino
11,Alan Ritchson
12,Alan Tudyk
13,Alana Haim
14,Alden Ehrenreich
15,Aleksey Serebryakov
16,Alex Pettyfer
17,Alexander Skarsgård
18,Alexandra Shipp
19,Alicia Vikander
20,Alison Brie
21,Allison Williams
22,Amber Midthunder
23,America Ferrera
24,Amy Adams
25,Amy Poehler
26,Ana de Armas
27,Anant Joshi
28,Anders Danielsen Lie
29,Andrew Barth Feldman
30,Andrew Garfield
31,Andy Samberg
32,Angelina Jolie
33,Angourie Rice
34,Anna Kendrick
35,Anne Hathaway
36,Annika Wedderkopp
37,Ansel Elgort
38,Anthony Gonzalez
39,Anthony Heald
40,Anthony Hopkins
41,Anthony Ramos
42,Antonio Banderas
43,Anya Taylor-Joy
44,Aomi Muyock
45,Archie Madekwe
46,Ari McCarthy
47,Ariana Grande
48,Armie Hammer
49,Arsher Ali
50,Auli'i Cravalho
51,Aunjanue Ellis-Taylor
52,Austin Amelio
53,Awkwafina
54,Banks Repeta
55,Barry Keoghan
56,Ben Affleck
57,Ben Foster
58,Ben Hardy
59,Ben Mendelsohn
60,Ben Schwartz
61,Benedict Cumberbatch
62,Benicio Del Toro
63,Benjamin Bratt
64,Bill Hader
65,Bill Skarsgård
66,Blake Lively
67,Bo Burnham
68,Bob Odenkirk
69,Bobby Naderi
70,Boluwatife Treasure Bankole
71,Brad Pitt
72,Bradley Cooper
73,Bradley Whitford
74,Brandon Perea
75,Brendan Gleeson
76,Brian Tyree Henry
77,Brittany Snow
78,Bryce Dallas Howard
79,Bryon Lerum
80,Cailee Spaeny
81,Callina Liang
82,Candice Patton
83,Carey Mulligan
84,Casey Affleck
85,Cate Blanchett
86,Celia Rowlson-Hall
87,Chadwick Boseman
88,Charlie Hunnam
89,Charlize Theron
90,Chloe East
91,Cho Jin-woong
92,Cho Yeo-jeong
93,Chris Evans
94,Chris Hemsworth
95,Chris Pine
96,Chris Pratt
97,Chris Sullivan
98,Christian Bale
99,Christian Friedel
100,Christoph Waltz
101,Chukwudi Iwuji
102,Cillian Murphy
103,Claes Bang
104,Colin Farrell
105,Connie Nielsen
106,Constance Wu
107,Cooper Hoffman
108,Corey Stoll
109,Cristin Milioti
110,Cynthia Erivo
111,Dafne Keen
112,Daisy Edgar-Jones
113,Daisy Ridley
114,Dakota Beavers
115,Danai Gurira
116,Dane DiLiegro
117,Daniel Craig
118,Daniel Day-Lewis
119,Daniel Kaluuya
120,Daniel Mays
121,Danielle Panabaker
122,Dar Salim
123,David Corenswet
124,David Harbour
125,Dean-Charles Chapman
126,Demi Moore
127,Dennis Quaid
128,Denzel Washington
129,Diego Luna
130,Domhnall Gleeson
131,Dwayne Johnson
132,Edward Norton
133,Elisabeth Moss
134,Elisabeth Shue
135,Elizabeth Debicki
136,Elizabeth Olsen
137,Elle Fanning
138,Emilia Clarke
139,Emilia Jones
140,Emily Blunt
141,Emily Browning
142,Emma Stone
143,Emma Watson
